Year,Sector,Value
2010,D - Electricity and power generation,0.0028087629999999997
2011,D - Electricity and power generation,0.002279365
2012,D - Electricity and power generation,0.0024721770000000003
2013,D - Electricity and power generation,0.002295314
2014,D - Electricity and power generation,0.002431828
2015,D - Electricity and power generation,0.002123088
2016,D - Electricity and power generation,0.0023964010000000003
2017,D - Electricity and power generation,0.0020712589999999998
1997,"E - Water collection, waste management and remediation activities",0.08519559
1998,"E - Water collection, waste management and remediation activities",0.076607525
1999,"E - Water collection, waste management and remediation activities",0.076668209
2000,"E - Water collection, waste management and remediation activities",0.074683581
2001,"E - Water collection, waste management and remediation activities",0.057788303
2002,"E - Water collection, waste management and remediation activities",0.054812312
2003,"E - Water collection, waste management and remediation activities",0.060240260999999996
2004,"E - Water collection, waste management and remediation activities",0.05445008
2005,"E - Water collection, waste management and remediation activities",0.049193395
2006,"E - Water collection, waste management and remediation activities",0.045186193
2007,"E - Water collection, waste management and remediation activities",0.030333861
2008,"E - Water collection, waste management and remediation activities",0.02744937
2009,"E - Water collection, waste management and remediation activities",0.02555875
2010,"E - Water collection, waste management and remediation activities",0.022219817000000003
2011,"E - Water collection, waste management and remediation activities",0.020009796
2012,"E - Water collection, waste management and remediation activities",0.017735595
2013,"E - Water collection, waste management and remediation activities",0.014813216
2014,"E - Water collection, waste management and remediation activities",0.014042056
2015,"E - Water collection, waste management and remediation activities",0.013438188
2016,"E - Water collection, waste management and remediation activities",0.012051015
2017,"E - Water collection, waste management and remediation activities",0.011155284
1997,F - Construction,0.003732648
1998,F - Construction,0.00319298
1999,F - Construction,0.0038343809999999996
2000,F - Construction,0.0033583790000000003
2001,F - Construction,0.00362403
2002,F - Construction,0.00372936
2003,F - Construction,0.0036649720000000003
2004,F - Construction,0.002829183
2005,F - Construction,0.0021020270000000002
2006,F - Construction,0.002127701
2007,F - Construction,0.002177953
2008,F - Construction,0.002146118
2009,F - Construction,0.004092048
2010,F - Construction,0.004007479
2011,F - Construction,0.003022128
2012,F - Construction,0.002189329
2013,F - Construction,0.001660778
2014,F - Construction,0.001445754
2015,F - Construction,0.001252783
2016,F - Construction,0.001190735
2017,F - Construction,0.00091505
1997,G - Trade and repair of mechanical equipment,0.00048027300000000003
1998,G - Trade and repair of mechanical equipment,0.00047411
1999,G - Trade and repair of mechanical equipment,0.000519322
2000,G - Trade and repair of mechanical equipment,0.00057513
2001,G - Trade and repair of mechanical equipment,0.000670934
2002,G - Trade and repair of mechanical equipment,0.0006345869999999999
2003,G - Trade and repair of mechanical equipment,0.0006667489999999999
2004,G - Trade and repair of mechanical equipment,0.0006149630000000001
2005,G - Trade and repair of mechanical equipment,0.000697649
2006,G - Trade and repair of mechanical equipment,0.0006824810000000001
2007,G - Trade and repair of mechanical equipment,0.0006091590000000001
2008,G - Trade and repair of mechanical equipment,0.000725062
2009,G - Trade and repair of mechanical equipment,0.000581679
2010,G - Trade and repair of mechanical equipment,0.0005158809999999999
2011,G - Trade and repair of mechanical equipment,0.000362509
2012,G - Trade and repair of mechanical equipment,0.00035331800000000003
2013,G - Trade and repair of mechanical equipment,0.000294518
2014,G - Trade and repair of mechanical equipment,0.000298372
2015,G - Trade and repair of mechanical equipment,0.000252597
2016,G - Trade and repair of mechanical equipment,0.00022413200000000002
2017,G - Trade and repair of mechanical equipment,0.00024223099999999998
1997,H - Tranportation and storage,0.016212446999999998
1998,H - Tranportation and storage,0.018140276
1999,H - Tranportation and storage,0.0190226
2000,H - Tranportation and storage,0.019862977
2001,H - Tranportation and storage,0.018502616
2002,H - Tranportation and storage,0.020585901
2003,H - Tranportation and storage,0.021760417999999997
2004,H - Tranportation and storage,0.018711481000000002
2005,H - Tranportation and storage,0.026475651
2006,H - Tranportation and storage,0.029576323999999998
2007,H - Tranportation and storage,0.020401762
2008,H - Tranportation and storage,0.012238789
2009,H - Tranportation and storage,0.015150406000000002
2010,H - Tranportation and storage,0.012805809
2011,H - Tranportation and storage,0.011250813
2012,H - Tranportation and storage,0.013064478999999999
2013,H - Tranportation and storage,0.011150988999999998
2014,H - Tranportation and storage,0.011778723
2015,H - Tranportation and storage,0.011489032
2016,H - Tranportation and storage,0.010954678
2017,H - Tranportation and storage,0.013046041000000001
1997,I - Accommodation and food services activities,5.895520000000001e-05
1998,I - Accommodation and food services activities,4.53125e-05
1999,I - Accommodation and food services activities,4.53446e-05
2000,I - Accommodation and food services activities,4.67364e-05
2001,I - Accommodation and food services activities,4.93396e-05
2002,I - Accommodation and food services activities,9.34565e-05
2003,I - Accommodation and food services activities,5.39424e-05
2004,I - Accommodation and food services activities,6.84453e-05
2005,I - Accommodation and food services activities,7.7837e-05
2006,I - Accommodation and food services activities,8.539149999999999e-05
2007,I - Accommodation and food services activities,7.81425e-05
2008,I - Accommodation and food services activities,7.98121e-05
2009,I - Accommodation and food services activities,8.1856e-05
2010,I - Accommodation and food services activities,8.62775e-05
2011,I - Accommodation and food services activities,8.81295e-05
2012,I - Accommodation and food services activities,7.79241e-05
2013,I - Accommodation and food services activities,6.32495e-05
2014,I - Accommodation and food services activities,5.9063599999999995e-05
2015,I - Accommodation and food services activities,4.98026e-05
2016,I - Accommodation and food services activities,4.120689999999999e-05
2017,I - Accommodation and food services activities,4.35857e-05
1997,J - Information and communication,6.13637e-05
1998,J - Information and communication,4.80975e-05
1999,J - Information and communication,4.4203900000000005e-05
2000,J - Information and communication,4.01685e-05
2001,J - Information and communication,3.87331e-05
2002,J - Information and communication,4.0679699999999996e-05
2003,J - Information and communication,4.33021e-05
2004,J - Information and communication,4.0623e-05
2005,J - Information and communication,4.0908800000000004e-05
2006,J - Information and communication,3.8302e-05
2007,J - Information and communication,4.3454499999999995e-05
2008,J - Information and communication,4.3115500000000004e-05
2009,J - Information and communication,4.7280699999999996e-05
2010,J - Information and communication,4.7306000000000004e-05
2011,J - Information and communication,4.56254e-05
2012,J - Information and communication,4.34508e-05
2013,J - Information and communication,3.36329e-05
2014,J - Information and communication,3.34386e-05
2015,J - Information and communication,3.28031e-05
2016,J - Information and communication,2.6617399999999997e-05
2017,J - Information and communication,2.92846e-05
1997,K - Financial and insurance activities,0.000157989
1998,K - Financial and insurance activities,0.000134249
1999,K - Financial and insurance activities,0.000133745
2000,K - Financial and insurance activities,8.863190000000001e-05
2001,K - Financial and insurance activities,8.34385e-05
2002,K - Financial and insurance activities,6.27802e-05
2003,K - Financial and insurance activities,3.6211300000000003e-05
2004,K - Financial and insurance activities,3.12431e-05
2005,K - Financial and insurance activities,2.69963e-05
2006,K - Financial and insurance activities,1.74273e-05
2007,K - Financial and insurance activities,1.057e-05
2008,K - Financial and insurance activities,1.75843e-05
2009,K - Financial and insurance activities,1.54961e-05
2010,K - Financial and insurance activities,3.67914e-05
2011,K - Financial and insurance activities,6.1387e-05
2012,K - Financial and insurance activities,6.93245e-05
2013,K - Financial and insurance activities,8.12822e-05
2014,K - Financial and insurance activities,4.03572e-05
2015,K - Financial and insurance activities,3.45203e-05
2016,K - Financial and insurance activities,2.4564099999999997e-05
2017,K - Financial and insurance activities,2.81758e-05
1997,"M - Professional, scientific and technical activities",9.575e-05
1998,"M - Professional, scientific and technical activities",7.8762e-05
1999,"M - Professional, scientific and technical activities",7.68304e-05
2000,"M - Professional, scientific and technical activities",7.31037e-05
2001,"M - Professional, scientific and technical activities",6.71878e-05
2002,"M - Professional, scientific and technical activities",8.911309999999999e-05
2003,"M - Professional, scientific and technical activities",6.89172e-05
2004,"M - Professional, scientific and technical activities",7.7131e-05
2005,"M - Professional, scientific and technical activities",8.84329e-05
2006,"M - Professional, scientific and technical activities",0.000110217
2007,"M - Professional, scientific and technical activities",8.17908e-05
2008,"M - Professional, scientific and technical activities",7.52903e-05
2009,"M - Professional, scientific and technical activities",7.63472e-05
2010,"M - Professional, scientific and technical activities",6.96942e-05
2011,"M - Professional, scientific and technical activities",7.48675e-05
2012,"M - Professional, scientific and technical activities",6.3695e-05
2013,"M - Professional, scientific and technical activities",5.4739799999999994e-05
2014,"M - Professional, scientific and technical activities",5.28778e-05
2015,"M - Professional, scientific and technical activities",4.58019e-05
2016,"M - Professional, scientific and technical activities",4.13814e-05
2017,"M - Professional, scientific and technical activities",4.41799e-05
1997,N - Administrative and support service activities,0.000321184
1998,N - Administrative and support service activities,0.000224839
1999,N - Administrative and support service activities,0.000240468
2000,N - Administrative and support service activities,0.000221058
2001,N - Administrative and support service activities,0.00023486
2002,N - Administrative and support service activities,0.00022652599999999998
2003,N - Administrative and support service activities,0.00020957299999999998
2004,N - Administrative and support service activities,0.000224783
2005,N - Administrative and support service activities,0.000279075
2006,N - Administrative and support service activities,0.00025893
2007,N - Administrative and support service activities,0.000221082
2008,N - Administrative and support service activities,0.000330304
2009,N - Administrative and support service activities,0.000333642
2010,N - Administrative and support service activities,0.000392063
2011,N - Administrative and support service activities,0.000352398
2012,N - Administrative and support service activities,0.00037040099999999997
2013,N - Administrative and support service activities,0.000300152
2014,N - Administrative and support service activities,0.000251572
2015,N - Administrative and support service activities,0.00021115
2016,N - Administrative and support service activities,0.000198491
2017,N - Administrative and support service activities,0.000224108
1997,O - Public administration and defence; compulsory social security,0.000258086
1998,O - Public administration and defence; compulsory social security,0.000161109
1999,O - Public administration and defence; compulsory social security,0.000158709
2000,O - Public administration and defence; compulsory social security,0.000140745
2001,O - Public administration and defence; compulsory social security,0.000127486
2002,O - Public administration and defence; compulsory social security,0.000113025
2003,O - Public administration and defence; compulsory social security,0.000102991
2004,O - Public administration and defence; compulsory social security,0.000100996
2005,O - Public administration and defence; compulsory social security,0.000108063
2006,O - Public administration and defence; compulsory social security,9.894219999999999e-05
2007,O - Public administration and defence; compulsory social security,7.79797e-05
2008,O - Public administration and defence; compulsory social security,8.88482e-05
2009,O - Public administration and defence; compulsory social security,8.507979999999999e-05
2010,O - Public administration and defence; compulsory social security,7.68115e-05
2011,O - Public administration and defence; compulsory social security,6.97176e-05
2012,O - Public administration and defence; compulsory social security,6.22924e-05
2013,O - Public administration and defence; compulsory social security,5.9635299999999995e-05
2014,O - Public administration and defence; compulsory social security,6.12659e-05
2015,O - Public administration and defence; compulsory social security,5.65196e-05
2016,O - Public administration and defence; compulsory social security,5.2052600000000004e-05
2017,O - Public administration and defence; compulsory social security,5.81871e-05
1997,P - Education,5.39697e-06
1998,P - Education,4.0770300000000005e-06
1999,P - Education,3.4295800000000005e-06
2000,P - Education,5.13092e-06
2001,P - Education,4.0984e-06
2002,P - Education,4.18395e-06
2003,P - Education,4.0488300000000005e-06
2004,P - Education,3.88045e-06
2005,P - Education,5.15896e-06
2006,P - Education,4.373349999999999e-06
2007,P - Education,5.015059999999999e-06
2008,P - Education,5.05121e-06
2009,P - Education,5.59686e-06
2010,P - Education,5.5970800000000005e-06
2011,P - Education,6.295750000000001e-06
2012,P - Education,8.708060000000001e-06
2013,P - Education,7.05455e-06
2014,P - Education,7.066289999999999e-06
2015,P - Education,6.35616e-06
2016,P - Education,5.82024e-06
2017,P - Education,5.517669999999999e-06
1997,Q - Human health and social work activities,1.0432000000000001e-05
1998,Q - Human health and social work activities,7.84739e-06
1999,Q - Human health and social work activities,7.49341e-06
2000,Q - Human health and social work activities,7.32913e-06
2001,Q - Human health and social work activities,7.5777499999999996e-06
2002,Q - Human health and social work activities,8.58745e-06
2003,Q - Human health and social work activities,1.01161e-05
2004,Q - Human health and social work activities,1.26846e-05
2005,Q - Human health and social work activities,1.37875e-05
2006,Q - Human health and social work activities,1.40167e-05
2007,Q - Human health and social work activities,1.68235e-05
2008,Q - Human health and social work activities,1.53608e-05
2009,Q - Human health and social work activities,1.47832e-05
2010,Q - Human health and social work activities,1.59019e-05
2011,Q - Human health and social work activities,1.77184e-05
2012,Q - Human health and social work activities,1.76702e-05
2013,Q - Human health and social work activities,1.48246e-05
2014,Q - Human health and social work activities,1.5001800000000001e-05
2015,Q - Human health and social work activities,1.2455e-05
2016,Q - Human health and social work activities,1.09677e-05
2017,Q - Human health and social work activities,1.1314e-05
1997,"R - Arts, entertainment and recreation",7.71554e-05
1998,"R - Arts, entertainment and recreation",7.15695e-05
1999,"R - Arts, entertainment and recreation",7.62121e-05
2000,"R - Arts, entertainment and recreation",6.58159e-05
2001,"R - Arts, entertainment and recreation",6.83197e-05
2002,"R - Arts, entertainment and recreation",0.00014895299999999998
2003,"R - Arts, entertainment and recreation",8.59707e-05
2004,"R - Arts, entertainment and recreation",7.7645e-05
2005,"R - Arts, entertainment and recreation",8.52328e-05
2006,"R - Arts, entertainment and recreation",0.000140161
2007,"R - Arts, entertainment and recreation",5.66267e-05
2008,"R - Arts, entertainment and recreation",5.64621e-05
2009,"R - Arts, entertainment and recreation",5.22517e-05
2010,"R - Arts, entertainment and recreation",6.34936e-05
2011,"R - Arts, entertainment and recreation",5.61622e-05
2012,"R - Arts, entertainment and recreation",6.1228e-05
2013,"R - Arts, entertainment and recreation",5.0281499999999996e-05
2014,"R - Arts, entertainment and recreation",5.2966499999999995e-05
2015,"R - Arts, entertainment and recreation",4.7031800000000006e-05
2016,"R - Arts, entertainment and recreation",4.21329e-05
2017,"R - Arts, entertainment and recreation",5.1060399999999997e-05
1997,S - Other services activities,0.000147632
1998,S - Other services activities,0.000137473
1999,S - Other services activities,0.00013279
2000,S - Other services activities,0.000120767
2001,S - Other services activities,0.00011292700000000001
2002,S - Other services activities,8.35957e-05
2003,S - Other services activities,6.52703e-05
2004,S - Other services activities,6.64521e-05
2005,S - Other services activities,7.65304e-05
2006,S - Other services activities,7.46332e-05
2007,S - Other services activities,6.19818e-05
2008,S - Other services activities,6.00857e-05
2009,S - Other services activities,6.428239999999999e-05
2010,S - Other services activities,6.58495e-05
2011,S - Other services activities,7.07413e-05
2012,S - Other services activities,7.07156e-05
2013,S - Other services activities,6.58506e-05
2014,S - Other services activities,6.16881e-05
2015,S - Other services activities,5.31272e-05
2016,S - Other services activities,5.01937e-05
2017,S - Other services activities,5.3453000000000005e-05
1997,U - Activities of extraterritorial organisations and bodies,
1998,U - Activities of extraterritorial organisations and bodies,
1999,U - Activities of extraterritorial organisations and bodies,
2000,U - Activities of extraterritorial organisations and bodies,
2001,U - Activities of extraterritorial organisations and bodies,
2002,U - Activities of extraterritorial organisations and bodies,
2003,U - Activities of extraterritorial organisations and bodies,
2004,U - Activities of extraterritorial organisations and bodies,
2005,U - Activities of extraterritorial organisations and bodies,
2006,U - Activities of extraterritorial organisations and bodies,
2007,U - Activities of extraterritorial organisations and bodies,0.000322439
2008,U - Activities of extraterritorial organisations and bodies,0.000842697
2009,U - Activities of extraterritorial organisations and bodies,0.0007100260000000001
2010,U - Activities of extraterritorial organisations and bodies,0.0005997000000000001
2011,U - Activities of extraterritorial organisations and bodies,0.000607143
2012,U - Activities of extraterritorial organisations and bodies,0.000677638
2013,U - Activities of extraterritorial organisations and bodies,0.000431732
2014,U - Activities of extraterritorial organisations and bodies,0.00044596
2015,U - Activities of extraterritorial organisations and bodies,0.000485714
2016,U - Activities of extraterritorial organisations and bodies,0.00048677199999999995
2017,U - Activities of extraterritorial organisations and bodies,0.0009397460000000001
