Year,Units,Industry category,Value
2006,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",2.937783
2007,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",2.400117
2008,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",3.911384
2009,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",5.194780
2010,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",4.824965
2011,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",5.251446
2012,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",5.164180
2013,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",5.244203
2014,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",4.667306
2015,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",4.508372
2016,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",3.965381
2017,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",3.661831
2018,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",3.805530
2019,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",4.186798
1997,Percentage of GDP,Thereof Fish processing,4.270406
1998,Percentage of GDP,Thereof Fish processing,3.895860
1999,Percentage of GDP,Thereof Fish processing,3.189175
2000,Percentage of GDP,Thereof Fish processing,2.541048
2001,Percentage of GDP,Thereof Fish processing,4.154032
2002,Percentage of GDP,Thereof Fish processing,2.963400
2003,Percentage of GDP,Thereof Fish processing,2.570797
2004,Percentage of GDP,Thereof Fish processing,2.240329
2005,Percentage of GDP,Thereof Fish processing,1.829184
2006,Percentage of GDP,Thereof Fish processing,1.831478
2007,Percentage of GDP,Thereof Fish processing,1.249168
2008,Percentage of GDP,Thereof Fish processing,2.310023
2009,Percentage of GDP,Thereof Fish processing,3.419246
2010,Percentage of GDP,Thereof Fish processing,3.034712
2011,Percentage of GDP,Thereof Fish processing,3.533901
2012,Percentage of GDP,Thereof Fish processing,3.491458
2013,Percentage of GDP,Thereof Fish processing,3.571347
2014,Percentage of GDP,Thereof Fish processing,2.921140
2015,Percentage of GDP,Thereof Fish processing,2.872694
2016,Percentage of GDP,Thereof Fish processing,2.261467
2017,Percentage of GDP,Thereof Fish processing,2.087317
2018,Percentage of GDP,Thereof Fish processing,2.165118
2019,Percentage of GDP,Thereof Fish processing,2.231222
1997,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.524143
1998,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.409373
1999,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.378804
2000,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.336748
2001,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.308943
2002,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.305318
2003,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.275698
2004,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.226880
2005,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.200759
2006,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.148703
2007,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.135588
2008,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.108406
2009,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.158301
2010,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.159088
2011,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.163037
2012,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.157292
2013,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.153990
2014,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.160941
2015,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.135012
2016,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.114318
2017,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.103218
2018,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.104324
2019,Percentage of GDP,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.106325
1997,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.371108
1998,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.324990
1999,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.312914
2000,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.309778
2001,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.290454
2002,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.294954
2003,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.301498
2004,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.252635
2005,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.236759
2006,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.226866
2007,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.149615
2008,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.122567
2009,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.103769
2010,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.090738
2011,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.084924
2012,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.075049
2013,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.084963
2014,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.088563
2015,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.078106
2016,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.083326
2017,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.085510
2018,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.070435
2019,Percentage of GDP,C: 16-17 Manufacture of wood and paper products,0.065693
1997,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.361769
1998,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.387356
1999,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.375059
2000,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.316757
2001,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.295695
2002,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.276291
2003,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.263808
2004,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.292374
2005,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.257592
2006,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.240911
2007,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.302915
2008,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.333124
2009,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.334217
2010,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.334910
2011,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.326211
2012,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.301456
2013,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.313253
2014,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.301120
2015,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.275281
2016,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.278807
2017,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.239112
2018,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.194706
2019,Percentage of GDP,C: 18 Printing and reproduction of recorded media,0.166940
1997,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
1998,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
1999,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
2000,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
2001,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
2002,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
2003,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
2004,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
2005,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
2006,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000000
2007,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000015
2008,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000013
2009,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000012
2010,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000227
2011,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000108
2012,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,-0.000005
2013,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000521
2014,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.000646
2015,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,-0.001587
2016,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.001750
2017,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.011799
2018,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.014634
2019,Percentage of GDP,C: 19 Manufacture of coke and refined petroleum products,0.011795
1997,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.568755
1998,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.564567
1999,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.540508
2000,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.554950
2001,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.654675
2002,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.672963
2003,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.899503
2004,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",1.019015
2005,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.565852
2006,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.516012
2007,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.489340
2008,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.614182
2009,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.512504
2010,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.479094
2011,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.472426
2012,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.408529
2013,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.405567
2014,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.396232
2015,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.328665
2016,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.275226
2017,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",-0.071739
2018,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",-0.041975
2019,Percentage of GDP,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",-0.048486
1997,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.413841
1998,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.382677
1999,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.360328
2000,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.322479
2001,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.312645
2002,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.282430
2003,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.306112
2004,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.284671
2005,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.242633
2006,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.177869
2007,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.178095
2008,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.177834
2009,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.156710
2010,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.135546
2011,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.146925
2012,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.147204
2013,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.146767
2014,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.140994
2015,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.154685
2016,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.130931
2017,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.124404
2018,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.121680
2019,Percentage of GDP,C: 22 Manufacture of rubber and plastic products,0.115082
1997,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.614539
1998,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.587447
1999,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.519875
2000,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.600526
2001,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.568811
2002,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.497028
2003,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.504636
2004,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.515279
2005,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.618520
2006,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.704524
2007,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.787517
2008,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.614976
2009,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.314397
2010,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.239998
2011,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.206765
2012,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.207750
2013,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.229770
2014,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.286628
2015,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.331760
2016,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.378195
2017,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.453972
2018,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.465303
2019,Percentage of GDP,C: 23 Manufacture of other non-metallic mineral products,0.410437
1997,Percentage of GDP,C: 24 Manufacture of basic metals,1.319604
1998,Percentage of GDP,C: 24 Manufacture of basic metals,1.329474
1999,Percentage of GDP,C: 24 Manufacture of basic metals,0.974291
2000,Percentage of GDP,C: 24 Manufacture of basic metals,1.528686
2001,Percentage of GDP,C: 24 Manufacture of basic metals,1.717142
2002,Percentage of GDP,C: 24 Manufacture of basic metals,1.517130
2003,Percentage of GDP,C: 24 Manufacture of basic metals,1.283177
2004,Percentage of GDP,C: 24 Manufacture of basic metals,1.385491
2005,Percentage of GDP,C: 24 Manufacture of basic metals,0.941125
2006,Percentage of GDP,C: 24 Manufacture of basic metals,1.542920
2007,Percentage of GDP,C: 24 Manufacture of basic metals,1.279151
2008,Percentage of GDP,C: 24 Manufacture of basic metals,2.730463
2009,Percentage of GDP,C: 24 Manufacture of basic metals,2.157383
2010,Percentage of GDP,C: 24 Manufacture of basic metals,4.253404
2011,Percentage of GDP,C: 24 Manufacture of basic metals,3.854360
2012,Percentage of GDP,C: 24 Manufacture of basic metals,2.522407
2013,Percentage of GDP,C: 24 Manufacture of basic metals,2.294420
2014,Percentage of GDP,C: 24 Manufacture of basic metals,2.573858
2015,Percentage of GDP,C: 24 Manufacture of basic metals,2.162346
2016,Percentage of GDP,C: 24 Manufacture of basic metals,1.386411
2017,Percentage of GDP,C: 24 Manufacture of basic metals,1.762791
2018,Percentage of GDP,C: 24 Manufacture of basic metals,1.066713
2019,Percentage of GDP,C: 24 Manufacture of basic metals,1.142245
1997,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.969127
1998,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.973061
1999,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.936678
2000,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.893590
2001,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.797494
2002,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.763765
2003,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.716364
2004,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.665431
2005,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.692872
2006,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.721822
2007,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.806630
2008,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.699936
2009,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.478707
2010,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.532241
2011,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.540464
2012,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.567803
2013,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.560011
2014,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.621376
2015,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.619923
2016,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.663205
2017,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.662759
2018,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.685212
2019,Percentage of GDP,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.702292
1997,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.023255
1998,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.026463
1999,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.027937
2000,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.033624
2001,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.040705
2002,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.039074
2003,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.034698
2004,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.042015
2005,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.026774
2006,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.052166
2007,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.039662
2008,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.040140
2009,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.049765
2010,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.050379
2011,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.061251
2012,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.046505
2013,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.045351
2014,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.058817
2015,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.047372
2016,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.047115
2017,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.041830
2018,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.041006
2019,Percentage of GDP,"C: 26 Manufacture of computer, electronic and optical products",0.030951
1997,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.068741
1998,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.070546
1999,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.073240
2000,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.070243
2001,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.066337
2002,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.056117
2003,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.045445
2004,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.046216
2005,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.054321
2006,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.041465
2007,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.037297
2008,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.056257
2009,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.058342
2010,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.083780
2011,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.119253
2012,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.131670
2013,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.146567
2014,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.054973
2015,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.094645
2016,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.075526
2017,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.065099
2018,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.071336
2019,Percentage of GDP,C: 27 Manufacture of electrical equipment,0.054532
1997,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.605535
1998,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.564119
1999,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.541586
2000,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.464886
2001,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.531996
2002,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.517569
2003,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.531031
2004,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.520119
2005,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.424391
2006,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.410892
2007,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.366697
2008,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.455329
2009,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.513327
2010,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.595737
2011,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.592674
2012,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.695732
2013,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.590114
2014,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.632395
2015,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.547284
2016,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.627704
2017,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.643220
2018,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.722308
2019,Percentage of GDP,C: 28 Manufacture of machinery and equipment n.e.c.,0.678270
1997,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.049058
1998,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.049110
1999,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.047368
2000,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.044629
2001,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.047761
2002,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.044474
2003,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.038570
2004,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.037072
