Year,Units,Area of Spending Category,Value
2000,Percentage (%) of Gross Domestic Product (GDP),,22.59
2001,Percentage (%) of Gross Domestic Product (GDP),,22.85
2002,Percentage (%) of Gross Domestic Product (GDP),,24.64
2003,Percentage (%) of Gross Domestic Product (GDP),,25.93
2004,Percentage (%) of Gross Domestic Product (GDP),,25.14
2005,Percentage (%) of Gross Domestic Product (GDP),,24.84
2006,Percentage (%) of Gross Domestic Product (GDP),,23.87
2007,Percentage (%) of Gross Domestic Product (GDP),,23.42
2008,Percentage (%) of Gross Domestic Product (GDP),,23.83
2009,Percentage (%) of Gross Domestic Product (GDP),,26.11
2010,Percentage (%) of Gross Domestic Product (GDP),,25.33
2011,Percentage (%) of Gross Domestic Product (GDP),,25.37
2012,Percentage (%) of Gross Domestic Product (GDP),,24.74
2013,Percentage (%) of Gross Domestic Product (GDP),,24.21
2014,Percentage (%) of Gross Domestic Product (GDP),,24.47
2015,Percentage (%) of Gross Domestic Product (GDP),,23.59
2016,Percentage (%) of Gross Domestic Product (GDP),,23.26
2017,Percentage (%) of Gross Domestic Product (GDP),,24.83
1998,Percentage (%) of Gross Domestic Product (GDP),Health,7.37
1999,Percentage (%) of Gross Domestic Product (GDP),Health,8.1
2000,Percentage (%) of Gross Domestic Product (GDP),Health,7.78
2001,Percentage (%) of Gross Domestic Product (GDP),Health,7.67
2002,Percentage (%) of Gross Domestic Product (GDP),Health,8.29
2003,Percentage (%) of Gross Domestic Product (GDP),Health,8.51
2004,Percentage (%) of Gross Domestic Product (GDP),Health,8.12
2005,Percentage (%) of Gross Domestic Product (GDP),Health,7.86
2006,Percentage (%) of Gross Domestic Product (GDP),Health,7.7
2007,Percentage (%) of Gross Domestic Product (GDP),Health,7.52
2008,Percentage (%) of Gross Domestic Product (GDP),Health,7.48
2009,Percentage (%) of Gross Domestic Product (GDP),Health,7.71
2010,Percentage (%) of Gross Domestic Product (GDP),Health,7.27
2011,Percentage (%) of Gross Domestic Product (GDP),Health,7.07
2012,Percentage (%) of Gross Domestic Product (GDP),Health,7.12
2013,Percentage (%) of Gross Domestic Product (GDP),Health,7.13
2014,Percentage (%) of Gross Domestic Product (GDP),Health,7.28
2015,Percentage (%) of Gross Domestic Product (GDP),Health,7.21
2016,Percentage (%) of Gross Domestic Product (GDP),Health,7.33
2017,Percentage (%) of Gross Domestic Product (GDP),Health,7.56
1998,Percentage (%) of Gross Domestic Product (GDP),Social Protection,7.55
1999,Percentage (%) of Gross Domestic Product (GDP),Social Protection,7.44
2000,Percentage (%) of Gross Domestic Product (GDP),Social Protection,7.46
2001,Percentage (%) of Gross Domestic Product (GDP),Social Protection,7.63
2002,Percentage (%) of Gross Domestic Product (GDP),Social Protection,8.33
2003,Percentage (%) of Gross Domestic Product (GDP),Social Protection,9.38
2004,Percentage (%) of Gross Domestic Product (GDP),Social Protection,9.08
2005,Percentage (%) of Gross Domestic Product (GDP),Social Protection,8.81
2006,Percentage (%) of Gross Domestic Product (GDP),Social Protection,8.05
2007,Percentage (%) of Gross Domestic Product (GDP),Social Protection,8.11
2008,Percentage (%) of Gross Domestic Product (GDP),Social Protection,8.41
2009,Percentage (%) of Gross Domestic Product (GDP),Social Protection,10.45
2010,Percentage (%) of Gross Domestic Product (GDP),Social Protection,10.33
2011,Percentage (%) of Gross Domestic Product (GDP),Social Protection,10.77
2012,Percentage (%) of Gross Domestic Product (GDP),Social Protection,10.24
2013,Percentage (%) of Gross Domestic Product (GDP),Social Protection,9.82
2014,Percentage (%) of Gross Domestic Product (GDP),Social Protection,9.83
2015,Percentage (%) of Gross Domestic Product (GDP),Social Protection,9.17
2016,Percentage (%) of Gross Domestic Product (GDP),Social Protection,8.91
2017,Percentage (%) of Gross Domestic Product (GDP),Social Protection,9.74
1998,Percentage (%) of Gross Domestic Product (GDP),Education,7.26
1999,Percentage (%) of Gross Domestic Product (GDP),Education,7.34
2000,Percentage (%) of Gross Domestic Product (GDP),Education,7.35
2001,Percentage (%) of Gross Domestic Product (GDP),Education,7.55
2002,Percentage (%) of Gross Domestic Product (GDP),Education,8.02
2003,Percentage (%) of Gross Domestic Product (GDP),Education,8.04
2004,Percentage (%) of Gross Domestic Product (GDP),Education,7.94
2005,Percentage (%) of Gross Domestic Product (GDP),Education,8.17
2006,Percentage (%) of Gross Domestic Product (GDP),Education,8.12
2007,Percentage (%) of Gross Domestic Product (GDP),Education,7.79
2008,Percentage (%) of Gross Domestic Product (GDP),Education,7.94
2009,Percentage (%) of Gross Domestic Product (GDP),Education,7.95
2010,Percentage (%) of Gross Domestic Product (GDP),Education,7.73
2011,Percentage (%) of Gross Domestic Product (GDP),Education,7.53
2012,Percentage (%) of Gross Domestic Product (GDP),Education,7.38
2013,Percentage (%) of Gross Domestic Product (GDP),Education,7.26
2014,Percentage (%) of Gross Domestic Product (GDP),Education,7.36
2015,Percentage (%) of Gross Domestic Product (GDP),Education,7.21
2016,Percentage (%) of Gross Domestic Product (GDP),Education,7.02
2017,Percentage (%) of Gross Domestic Product (GDP),Education,7.53
