Year;Sector;Value
2014;J - Information and communication;0,004248597
2015;J - Information and communication;0,004712117
2016;J - Information and communication;0,003543837
2017;J - Information and communication;0,003713896
1997;K - Financial and insurance activities;0,008276235
1998;K - Financial and insurance activities;0,007156363
1999;K - Financial and insurance activities;0,007419606
2000;K - Financial and insurance activities;0,005530884
2001;K - Financial and insurance activities;0,006637623
2002;K - Financial and insurance activities;0,004755408
2003;K - Financial and insurance activities;0,002350936
2004;K - Financial and insurance activities;0,001902375
2005;K - Financial and insurance activities;0,001523494
2006;K - Financial and insurance activities;0,001126906
2007;K - Financial and insurance activities;0,00064498
2008;K - Financial and insurance activities;0,001510228
2009;K - Financial and insurance activities;0,001888866
2010;K - Financial and insurance activities;0,004500691
2011;K - Financial and insurance activities;0,007367282
2012;K - Financial and insurance activities;0,009149716
2013;K - Financial and insurance activities;0,010638934
2014;K - Financial and insurance activities;0,005127659
2015;K - Financial and insurance activities;0,004958785
2016;K - Financial and insurance activities;0,003270451
2017;K - Financial and insurance activities;0,003573279
1997;M - Professional, scientific and technical activities;0,005015845
1998;M - Professional, scientific and technical activities;0,00419854
1999;M - Professional, scientific and technical activities;0,004262211
2000;M - Professional, scientific and technical activities;0,004561879
2001;M - Professional, scientific and technical activities;0,00534486
2002;M - Professional, scientific and technical activities;0,006750047
2003;M - Professional, scientific and technical activities;0,004474294
2004;M - Professional, scientific and technical activities;0,004696461
2005;M - Professional, scientific and technical activities;0,00499058
2006;M - Professional, scientific and technical activities;0,007126998
2007;M - Professional, scientific and technical activities;0,004990839
2008;M - Professional, scientific and technical activities;0,006466325
2009;M - Professional, scientific and technical activities;0,009306182
2010;M - Professional, scientific and technical activities;0,008525691
2011;M - Professional, scientific and technical activities;0,008985118
2012;M - Professional, scientific and technical activities;0,008406706
2013;M - Professional, scientific and technical activities;0,00716483
2014;M - Professional, scientific and technical activities;0,006718481
2015;M - Professional, scientific and technical activities;0,006579371
2016;M - Professional, scientific and technical activities;0,005509508
2017;M - Professional, scientific and technical activities;0,005602924
1997;N - Administrative and support service activities;0,016825137
1998;N - Administrative and support service activities;0,011985433
1999;N - Administrative and support service activities;0,013340135
2000;N - Administrative and support service activities;0,01379464
2001;N - Administrative and support service activities;0,018683331
2002;N - Administrative and support service activities;0,017158685
2003;N - Administrative and support service activities;0,013606052
2004;N - Administrative and support service activities;0,013686899
2005;N - Administrative and support service activities;0,015749195
2006;N - Administrative and support service activities;0,016743277
2007;N - Administrative and support service activities;0,013490356
2008;N - Administrative and support service activities;0,028368261
2009;N - Administrative and support service activities;0,040668609
2010;N - Administrative and support service activities;0,047961104
2011;N - Administrative and support service activities;0,04229252
2012;N - Administrative and support service activities;0,048886908
2013;N - Administrative and support service activities;0,039286559
2014;N - Administrative and support service activities;0,0319639
2015;N - Administrative and support service activities;0,030331332
2016;N - Administrative and support service activities;0,026427015
2017;N - Administrative and support service activities;0,028421542
1997;"O - Public administration and defence; compulsory social security";0,013519807
1998;"O - Public administration and defence; compulsory social security";0,008588162
1999;"O - Public administration and defence; compulsory social security";0,008804463
2000;"O - Public administration and defence; compulsory social security";0,008782916
2001;"O - Public administration and defence; compulsory social security";0,01014161
2002;"O - Public administration and defence; compulsory social security";0,008561303
2003;"O - Public administration and defence; compulsory social security";0,006686443
2004;"O - Public administration and defence; compulsory social security";0,006149556
2005;"O - Public administration and defence; compulsory social security";0,006098358
2006;"O - Public administration and defence; compulsory social security";0,006397937
2007;"O - Public administration and defence; compulsory social security";0,00475829
2008;"O - Public administration and defence; compulsory social security";0,00763075
2009;"O - Public administration and defence; compulsory social security";0,010370631
2010;"O - Public administration and defence; compulsory social security";0,009396346
2011;"O - Public administration and defence; compulsory social security";0,008367066
2012;"O - Public administration and defence; compulsory social security";0,00822159
2013;"O - Public administration and defence; compulsory social security";0,007805598
2014;"O - Public administration and defence; compulsory social security";0,007784248
2015;"O - Public administration and defence; compulsory social security";0,008118953
2016;"O - Public administration and defence; compulsory social security";0,006930268
2017;"O - Public administration and defence; compulsory social security";0,007379327
1997;P - Education;0,000282719
1998;P - Education;0,000217333
1999;P - Education;0,000190258
2000;P - Education;0,000320184
2001;P - Education;0,000326032
2002;P - Education;0,000316922
2003;P - Education;0,000262861
2004;P - Education;0,000236278
2005;P - Education;0,000291138
2006;P - Education;0,000282795
2007;P - Education;0,000306017
2008;P - Education;0,000433824
2009;P - Education;0,000682218
2010;P - Education;0,00068469
2011;P - Education;0,000755576
2012;P - Education;0,001149323
2013;P - Education;0,000923362
2014;P - Education;0,000897819
2015;P - Education;0,000913052
2016;P - Education;0,000774906
2017;P - Education;0,000699755
1997;Q - Human health and social work activities;0,000546478
1998;Q - Human health and social work activities;0,000418318
1999;Q - Human health and social work activities;0,000415702
2000;Q - Human health and social work activities;0,000457359
2001;Q - Human health and social work activities;0,000602818
2002;Q - Human health and social work activities;0,000650473
2003;Q - Human health and social work activities;0,000656765
2004;Q - Human health and social work activities;0,000772355
2005;Q - Human health and social work activities;0,000778076
2006;Q - Human health and social work activities;0,000906365
2007;Q - Human health and social work activities;0,001026561
2008;Q - Human health and social work activities;0,001319265
2009;Q - Human health and social work activities;0,001801964
2010;Q - Human health and social work activities;0,00194528
2011;Q - Human health and social work activities;0,002126449
2012;Q - Human health and social work activities;0,002332175
2013;Q - Human health and social work activities;0,001940369
2014;Q - Human health and social work activities;0,001906077
2015;Q - Human health and social work activities;0,001789146
2016;Q - Human health and social work activities;0,001460238
2017;Q - Human health and social work activities;0,00143485
1997;R - Arts, entertainment and recreation;0,00404177
1998;R - Arts, entertainment and recreation;0,003815134
1999;R - Arts, entertainment and recreation;0,004227912
2000;R - Arts, entertainment and recreation;0,004107104
2001;R - Arts, entertainment and recreation;0,0054349
2002;R - Arts, entertainment and recreation;0,011282775
2003;R - Arts, entertainment and recreation;0,005581455
2004;R - Arts, entertainment and recreation;0,004727758
2005;R - Arts, entertainment and recreation;0,004809985
2006;R - Arts, entertainment and recreation;0,009063309
2007;R - Arts, entertainment and recreation;0,00345534
2008;R - Arts, entertainment and recreation;0,004849259
2009;R - Arts, entertainment and recreation;0,006369119
2010;R - Arts, entertainment and recreation;0,007767171
2011;R - Arts, entertainment and recreation;0,006740235
2012;R - Arts, entertainment and recreation;0,008081105
2013;R - Arts, entertainment and recreation;0,006581285
2014;R - Arts, entertainment and recreation;0,006729752
2015;R - Arts, entertainment and recreation;0,006756045
2016;R - Arts, entertainment and recreation;0,005609564
2017;R - Arts, entertainment and recreation;0,006475524
1997;S - Other services activities;0,007733654
1998;S - Other services activities;0,007328234
1999;S - Other services activities;0,007366622
2000;S - Other services activities;0,007536227
2001;S - Other services activities;0,00898346
2002;S - Other services activities;0,006332119
2003;S - Other services activities;0,004237528
2004;S - Other services activities;0,004046227
2005;S - Other services activities;0,00431888
2006;S - Other services activities;0,004826036
2007;S - Other services activities;0,003782103
2008;S - Other services activities;0,005160471
2009;S - Other services activities;0,007835572
2010;S - Other services activities;0,008055367
2011;S - Other services activities;0,00848992
2012;S - Other services activities;0,009333311
2013;S - Other services activities;0,008619111
2014;S - Other services activities;0,00783789
2015;S - Other services activities;0,00763163
2016;S - Other services activities;0,00668278
2017;S - Other services activities;0,006778951
1997;U - Activities of extraterritorial organisations and bodies;
1998;U - Activities of extraterritorial organisations and bodies;
1999;U - Activities of extraterritorial organisations and bodies;
2000;U - Activities of extraterritorial organisations and bodies;
2001;U - Activities of extraterritorial organisations and bodies;
2002;U - Activities of extraterritorial organisations and bodies;
2003;U - Activities of extraterritorial organisations and bodies;
2004;U - Activities of extraterritorial organisations and bodies;
2005;U - Activities of extraterritorial organisations and bodies;
2006;U - Activities of extraterritorial organisations and bodies;
2007;U - Activities of extraterritorial organisations and bodies;0,019675086
2008;U - Activities of extraterritorial organisations and bodies;0,072375192
2009;U - Activities of extraterritorial organisations and bodies;0,086547111
2010;U - Activities of extraterritorial organisations and bodies;0,073361319
2011;U - Activities of extraterritorial organisations and bodies;0,072865415
2012;U - Activities of extraterritorial organisations and bodies;0,089437224
2013;U - Activities of extraterritorial organisations and bodies;0,056508927
2014;U - Activities of extraterritorial organisations and bodies;0,056662228
2015;U - Activities of extraterritorial organisations and bodies;0,069772064
2016;U - Activities of extraterritorial organisations and bodies;0,064808738
2017;U - Activities of extraterritorial organisations and bodies;0,119179279
